Id,Price
4567,164782.31040384134
5925,122447.82352797882
960,139858.09656776514
3848,87444.00931381017
746,192683.4869711612
868,340019.60511413513
672,113836.34439453998
2471,211846.66285544808
4510,113565.88633616306
8354,240182.0288097297
6393,180210.56677000245
13270,217791.18007302756
5250,275349.5059306495
16751,171659.44350463687
11404,131176.19281918387
10588,368890.45630887087
14925,190093.93164644795
6791,206798.18388157382
16097,181759.04288507835
16428,378866.4840271072
6945,330954.23350122327
3190,183825.897873291
15709,455355.4301822809
13155,160875.48805969086
7675,200354.9108859994
14686,240580.78180884194
609,156765.9607093098
11155,170884.88837421068
10869,192640.22063100734
15742,185777.7217965125
9245,191618.24435104209
3340,162089.18438752016
2359,281265.7547048244
8070,192883.75548849412
13707,122163.81662395949
16079,277565.24787593615
15937,292347.33915926045
14090,191482.56892587012
9008,222967.5398798371
16384,172846.92561427702
11657,236653.71372277293
13151,139299.4768182904
8990,155332.7283002798
11857,181488.46151887544
1565,149744.30150356112
8174,102049.71367285133
9247,249537.6851983368
10478,217500.90191556688
15509,144068.64849907518
8306,207444.40556621127
6642,184246.00932668973
7472,229046.61246470522
15989,125490.58541345832
13682,130358.83965505808
163,254850.97412988645
7076,200315.10882391687
7478,328799.9203888418
3029,186777.01659570102
1814,134507.0867197031
10057,127939.90475315807
15100,185939.45609516508
12694,224067.31183774417
6291,179949.93725083553
12603,171222.29280602658
3218,234833.4339101506
13456,123039.48558114815
10170,243189.7865046519
4530,155793.53960962317
13329,163095.42018767688
4820,145660.00949377983
10896,176443.06387244715
13416,116754.59353838454
2701,231870.325763777
11265,321695.31952875416
9189,252528.16891706697
1858,215685.3301963566
14536,233484.3877985996
6199,289509.84292658116
14730,153197.8252209317
7510,260966.97215875785
15505,162198.234411447
7446,194344.7096863641
14016,199099.3007219466
14113,103750.59965714824
8721,310353.21644600143
6193,311996.0756293851
5717,174890.41339034672
5427,311771.4121281663
9520,530043.4565022265
6869,96203.81798565427
1658,147153.3312066853
6639,234805.67600743118
6283,190426.3679393374
6257,124110.60748848483
15235,177154.20092025553
902,227348.9080902555
8932,196806.4604098981
16469,347303.16793233645
2825,279406.4173238973
6450,444152.70730359154
11366,183516.72117260643
3801,391824.2166208858
11385,196028.27569126635
1079,202062.08144551088
3202,243306.2260495853
676,229713.40617094786
6185,296606.98610582517
7730,168198.7464357919
2573,178667.67250163303
10978,205847.4650021887
10962,261596.75776302954
8870,191228.5751590891
8496,178921.696035016
5517,168505.59970705703
927,182768.25091858036
13675,205532.8930949697
1499,230636.2938824244
15536,357778.11529503256
8602,349992.54350448743
12137,473504.0828920149
9865,270827.540077007
16353,289965.8317873171
15908,216449.6469173928
3944,182178.3625053633
10359,206027.46923554305
15158,231478.58453706218
3259,237942.63160713983
7220,317858.2272028081
13843,210380.59379060095
16736,179553.5632862443
702,270896.99785110157
16401,78981.24917194879
12134,180340.58434322383
6918,243648.20962794503
11792,128780.64677749555
3798,93052.95335478075
10395,134654.16443521928
11099,141326.59596135173
7090,206586.1866985287
11260,189103.733898654
9647,209757.61833049584
2903,383104.81725676835
2071,182553.5048661846
8604,190465.44979272565
9346,209297.6889197395
3945,204037.39290729625
3420,134407.97093396346
10842,122520.44934568787
725,154991.08880403635
13931,195687.34179869038
16330,248964.4012174395
9066,412364.52507715544
3326,312709.18304144155
1556,268148.3410934743
6579,94821.71693371113
13877,137873.7229753016
9857,340132.6013790659
7302,263406.83273473615
5684,210321.77199309788
6513,229292.7324709485
11342,108631.08230257902
16561,218928.10132912756
6885,171476.6214229289
9308,179971.7727780821
2559,173445.28682426337
6648,175422.4508142277
15260,175138.01152405125
5113,192053.9082751818
16492,191207.4449009468
12034,276722.36921695346
7248,217768.45792520372
2171,211393.19218109714
10594,163749.72176105468
13241,204071.53474485644
7032,138483.86180012015
4884,171774.93298107205
903,221292.4217881769
162,167469.9823409668
6566,261305.97027932678
8249,146392.95363562027
13106,177116.33679385853
256,128329.04535017474
7976,165316.78537252
8575,161585.2532167961
7591,277761.0355063877
3204,191023.8581683231
15804,178040.21192418112
1525,319820.62953390065
9038,205240.78869629392
13628,197512.7959246115
10016,206244.8737577208
10208,224748.23292139932
2008,186756.74658798563
13029,202695.06738667595
5099,123719.03024346472
9923,302250.232308394
9461,126832.1305571895
11086,179002.58065253665
15057,254822.7353332534
10689,175329.41803541253
2053,223751.71372407948
16630,170314.92387788568
4985,161277.24878501488
13881,259330.82264280412
13225,195956.542968061
5779,69591.19690971477
10262,178015.12000754214
10762,205629.75178317854
9513,203899.2536330092
11128,168343.84893620742
2074,300005.8056487191
933,201203.71751200475
2780,189046.2466156084
6594,115049.67410081354
15394,249816.12660464857
14863,136626.71231155575
6698,203906.55560108708
1611,265557.91183711763
174,187751.11832628137
5160,228623.419571768
3295,321336.0053753873
4559,370224.0683618366
8254,169599.6915515153
10228,101420.76160624137
13924,128768.03734424227
15341,246754.81465160378
4353,171857.2916299652
4334,70174.83947321371
1872,151644.63647586503
7823,184598.26920043194
310,157937.87250317118
3704,253463.3880062986
11615,322152.9740022054
6605,206990.28114256906
3381,185652.13891559598
2143,135792.60050644388
3191,250070.80366683446
13980,132195.26324523138
15613,170426.88138462894
10943,280065.2922486726
9654,144173.10058719557
16053,495650.67425422324
14931,216935.20630205664
8299,235526.539986717
2147,163881.54284896186
11567,357842.7855676185
5905,128552.37765784375
11160,105092.16148393978
8275,142751.20646469013
16398,285749.2037031779
11229,183314.75159245697
10309,154425.07900289056
7340,269477.3364094819
7653,151956.22228808457
272,213286.38432117424
9831,221097.18741002635
5016,117360.40191435648
5968,60694.126449905045
796,241556.413442967
12123,124040.03375453579
16629,182262.2001848164
2637,174361.33825790184
6194,206542.2517060042
6216,401182.5892041483
14346,176019.68135556512
6428,127220.1679227856
2891,228228.4757547124
84,175783.5278970267
9260,223507.94985285425
15250,152425.01221235335
